No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
436,伝承の味処　無限堂　秋田駅前店,010-0001,秋田市,中通2-4-12,,018-825-0800,2.飲食店（酒類提供あり）,
437,伝承の味処　無限堂　大町本店,010-0921,秋田市,大町1-3-2,,018-863-0008,2.飲食店（酒類提供あり）,
438,秋田県産品プラザ,010-0001,秋田市,中通2-3-8,アトリオンB1F,018-836-7830,3.小売（お土産等）,
439,お食事処　河辺ドライブイン,019-2601,秋田市,河辺和田字坂本南262,,018-882-2361,2.飲食店（酒類提供あり）,
440,花の鈴屋,010-0947,秋田市,川尻上野町1-74,,018-863-1319,21.その他,生花店
441,ホテル秋田御所野,010-1419,秋田市,御所野堤台1-3-1,,018-853-8660,21.その他,宿泊施設
442,お菓子のくらた　泉グランマート店,010-0817,秋田市,泉菅野2-1-1,グランマート泉店内,018-838-5066,3.小売（お土産等）,
443,お菓子のくらた　トピコ店,010-0001,秋田市,秋田市中通7-2-1,秋田ステーションビル　トピコ2階,018-834-7341,3.小売（お土産等）,
444,お菓子のくらた　外旭川店,010-0802,秋田市,外旭川字待合10-1,,018-869-7227,3.小売（お土産等）,
445,お菓子のくらた　東店,010-0041,秋田市,広面屋敷田309,,018-889-3615,3.小売（お土産等）,
446,お菓子のくらた　山王店,010-0951,秋田市,山王1-5-2,,018-863-3682,3.小売（お土産等）,
447,なるみ酒店　大町店,010-0921,秋田市,大町5-3-39,,018-862-2843,3.小売（お土産等）,
448,なるみ酒店　本店,010-0914,秋田市,保戸野千代田町16-6,,018-823-0315,3.小売（お土産等）,
449,お肉とワイン　コジコジ秋田駅前店,010-0001,秋田市,中通2-6-2,,018-874-7979,2.飲食店（酒類提供あり）,
450,アルバートホテル秋田　日本料理レストランはなぎく,010-0921,秋田市,大町4-3-22,,018-888-3333,21.その他,宿泊施設
451,ティールーム陶,010-0001,秋田市,中通2-1-21,,018-833-2843,1.飲食店（酒類提供なし）,
452,食器のさかいだ,010-0001,秋田市,中通2-1-21,,018-833-2843,3.小売（お土産等）,
453,秋田乃瀧,010-0921,秋田市,大町3-1-15,,018-824-1010,2.飲食店（酒類提供あり）,
454,ひらのや書店,010-0921,秋田市,大町1-5-19,,018-862-4488,21.その他,書店
455,秋田牛玄亭,010-0001,秋田市,中通2-6-44,2F,018-893-3929,2.飲食店（酒類提供あり）,
456,レストランおいしんぼ,010-0973,秋田市,八橋本町1-1-48,,018-864-1072,2.飲食店（酒類提供あり）,
457,札幌海鮮丸　仁井田店,010-1434,秋田市,仁井田蕗見町10-15,,0570-091-440,3.小売（お土産等）,
458,カクテル＆ウイスキー　レディ,010-0921,秋田市,大町3-1-11,,018-863-6855,2.飲食店（酒類提供あり）,
459,JA秋田なまはげ直売所　あぐりんなかいち,010-0001,秋田市,中通1-4-3,,018-884-0831,3.小売（お土産等）,
460,BCカトレア,010-0001,秋田市,中通2-6-1,,018-833-2191,21.その他,衣服店
461,オアシス,010-0001,秋田市,中通2-8-1,,018-834-8258,21.その他,衣服店
462,レモンの部屋,010-0001,秋田市,中通2-2-1,,018-834-7614,21.その他,衣服店
463,カトレア本店,010-0001,秋田市,中通2-1-22,,018-832-7066,21.その他,衣服店
464,リーフ,010-0001,秋田市,中通2-8-1,フォンテ秋田1F,018-893-5652,21.その他,衣服店
465,ツーフェイス秋田店,010-0001,秋田市,中通2-8-1,フォンテ秋田3F,018-884-0232,21.その他,衣服店
466,カトレア　土崎店,011-0943,秋田市,土崎港南2-3-41,イオン土崎南店2F,018-845-5096,21.その他,衣服店
467,カトレア　秋田店,010-0001,秋田市,中通2-8-1,フォンテ秋田3F,018-835-5236,21.その他,衣服店
468,レイルズ,010-0001,秋田市,中通7-1-2,トピコ1F,018-853-8688,2.飲食店（酒類提供あり）,
469,あきた鮨,010-0001,秋田市,中通7-1-2,トピコ2F,018-827-6886,3.小売（お土産等）,
470,秋田港,010-0001,秋田市,中通7-1-2,トピコ3F,018-853-5688,2.飲食店（酒類提供あり）,
471,かまくらの郷,010-0001,秋田市,中通4-13-1,,018-874-8313,2.飲食店（酒類提供あり）,
472,いさばや,010-0001,秋田市,中通7-1-2,トピコ1F,018-838-6020,2.飲食店（酒類提供あり）,
473,グランマート手形店,010-0863,秋田市,手形休下町2-1,,018-825-1021,4.コンビニ・スーパー,
474,グランマート外旭川店,010-0802,秋田市,外旭川字小谷地25,,018-868-2323,4.コンビニ・スーパー,
475,グランマート泉店,010-0817,秋田市,泉菅野2-1-1,,018-866-8811,4.コンビニ・スーパー,
476,秋田市雄和観光交流館Villaフローラ,010-1223,秋田市,雄和妙法字糠塚1-1,,018-881-3011,2.飲食店（酒類提供あり）,
477,横田屋,010-0921,秋田市,大町3-1-17,,018-823-8221,2.飲食店（酒類提供あり）,
478,仲小路コーヒー＆ワイン,010-0001,秋田市,中通2-1-48,,018-853-0730,2.飲食店（酒類提供あり）,
479,ホテルパールシティ　秋田竿燈大通り,010-0921,秋田市,大町2-2-3,,018-862-0501,21.その他,宿泊施設
480,パティズ秋田店,010-0029,秋田市,楢山川口境5-11,イオン秋田中央店内3F,018-825-5577,21.その他,雑貨店
481,アクトワン,010-0012,秋田市,南通みその町1-14,,018-884-1919,21.その他,ブランド品
482,郷土料理　芝良久,010-0951,秋田市,山王1-2-17,,018-865-4809,2.飲食店（酒類提供あり）,
483,火乃座,010-0921,秋田市,大町5-3-2,,018-862-4545,2.飲食店（酒類提供あり）,
484,紅がら屋,010-0921,秋田市,大町4-2-34,,018-867-0399,2.飲食店（酒類提供あり）,
485,BAIRO　CAFE,010-0921,秋田市,大町5-2-33,,018-824-2200,2.飲食店（酒類提供あり）,
486,川反軒,010-0921,秋田市,大町5-2-42,,018-893-5070,2.飲食店（酒類提供あり）,
487,佐野薬局　広面店,010-0041,秋田市,広面堤敷25-1,,018-831-8001,21.その他,ドラッグストア
488,佐野薬局　本店,010-0912,秋田市,保戸野通町3-31,,018-823-9357,21.その他,ドラッグストア
489,KINSYODO　秋田店,010-0065,秋田市,茨島4-3-25,,018-838-4510,3.小売（お土産等）,
490,カレーハウス　CoCo壱番屋　秋田東通店,010-0003,秋田市,東通5-7-35,,018-837-5146,2.飲食店（酒類提供あり）,
491,カレーハウス　CoCo壱番屋　秋田土崎店,011-0941,秋田市,土崎港北7-2-35,,018-816-0816,2.飲食店（酒類提供あり）,
492,薬王堂　秋田土崎店,011-0941,秋田市,土崎港北6-2-12,,018-847-2181,21.その他,薬局
493,中華美食　小金龍　土崎店,011-0942,秋田市,土崎港東1-2-28,,080-3027-8531,2.飲食店（酒類提供あり）,
494,中華美食　小金龍　茨島店,010-0065,秋田市,茨島6-10-21,,080-3027-8531,2.飲食店（酒類提供あり）,
495,（株）桜竹,011-0936,秋田市,将軍野南4-1-12,,018-846-4888,3.小売（お土産等）,
496,二幸カマタ食品,010-0001,秋田市,中通4-7-35,,018-835-5271,3.小売（お土産等）,
497,日本料理　御山,010-0041,秋田市,広面字谷地田57-1,,018-811-0055,2.飲食店（酒類提供あり）,
498,らぽっぽ,010-0001,秋田市,中通7-1-2,トピコ2F,018-836-6238,3.小売（お土産等）,
499,栄太楼　いとく自衛隊通店,010-0941,秋田市,土崎港北2-17-60,いとく自衛隊通り店内,018-853-8719,3.小売（お土産等）,
500,秋田ビューホテル,010-0001,秋田市,中通2-6-1,,018-832-1111,21.その他,宿泊施設
501,市場いちばん寿司,010-0001,秋田市,中通4-7-35,,018-884-1844,2.飲食店（酒類提供あり）,
502,一の酉・川反店,010-0921,秋田市,大町3-2-30,シャインズビル1Ｆ,018-823-1146,2.飲食店（酒類提供あり）,
503,だんまや水産　秋田大町店,010-0921,秋田市,大町5-4-10,,050-5494-3651,2.飲食店（酒類提供あり）,
504,チーズ＆ワイン　アベ,010-0875,秋田市,千秋明徳町2-6,,018-884-0093,3.小売（お土産等）,
505,マルカワ(有)川村鮮魚店,010-0001,秋田市,中通4-7-35,市民市場内,018-833-0720,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
506,酔って家,011-0946,秋田市,土崎港中央3-4-3,,018-845-8100,2.飲食店（酒類提供あり）,
507,太助寿司　本店,010-0146,秋田市,下新城中野字琵琶沼439-5,,018-873-6975,2.飲食店（酒類提供あり）,
508,東武トップツアーズ　秋田支店,010-0951,秋田市,山王2-1-40,田口ビル1階,018-866-0109,21.その他,旅行業
509,料亭　志田屋,010-0921,秋田市,大町3-5-11,,018-823-0432,2.飲食店（酒類提供あり）,
510,居酒屋　山勝,011-0954,秋田市,土崎港西3-1-44,,080-2034-4299,2.飲食店（酒類提供あり）,
511,すしのあすか,010-0804,秋田市,外旭川八幡1-11-38,,018-869-7091,3.小売（お土産等）,
512,味よし　秋田店,010-0062,秋田市,牛島東6-2-40,,018-831-6817,3.小売（お土産等）,
513,栄太楼　いとく新国道店,010-0967,秋田市,高陽幸町14-27,いとく新国道店内,018-823-5000,3.小売（お土産等）,
514,栄太楼　仁井田店,010-1427,秋田市,仁井田新田2-15-17,,018-839-8115,3.小売（お土産等）,
515,栄太楼　南通店,010-0011,秋田市,南通亀の町11-9,,018-833-7251,3.小売（お土産等）,
516,いいもんや　酉二九　秋田駅前店,010-0001,秋田市,中通2-5-11,スター駅前ビル2Ｆ,018-837-4611,2.飲食店（酒類提供あり）,
517,髙長寿司,010-1638,秋田市,新屋表町5-6,,018-828-2522,2.飲食店（酒類提供あり）,
518,秋田犬ステーション,010-0001,秋田市,中通1-4-1,,018-865-5302,3.小売（お土産等）,
519,天然温泉ホテルこまち,010-0061,秋田市,卸町1-2-3,,018-865-0001,21.その他,宿泊施設
520,割烹かめ清　遊食さい賀,010-0921,秋田市,大町4-1-16,,018-862-2729,2.飲食店（酒類提供あり）,
521,秋田てんぷらみかわ,010-0921,秋田市,大町4-4-4,,018-807-4627,2.飲食店（酒類提供あり）,
522,Patchwork Cafe,010-0041,秋田市,広面野添183　,明田中央ビル103号,018-811-3424,2.飲食店（酒類提供あり）,
523,和食処　まる,010-0921,秋田市,大町2-2-9,,018-864-8843,2.飲食店（酒類提供あり）,
524,アンサナ,010-0001,秋田市,中通2-4-8,,018-825-2008,2.飲食店（酒類提供あり）,
525,我楽,010-0001,秋田市,中通2-1-5,我楽ビル１F,018-836-0466,2.飲食店（酒類提供あり）,
526,サンドラッグ八橋大畑店,010-0962,秋田市,八橋大畑1-6-37,,018-896-4301,21.その他,薬局
527,まぐろ屋　魚繁伊勢谷,010-0001,秋田市,中通4-7-35,,018-834-4840,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
528,炭火炙り家　えびす,010-0921,秋田市,大町五丁目４－１１,,018-896-4011,2.飲食店（酒類提供あり）,
529,うまい肴　然,010-0001,秋田市,中通五丁目３－２５,,018-884-1321,2.飲食店（酒類提供あり）,
530,魚のごちそう　膳菜や,010-0921,秋田市,大町六丁目３－１５,,018-896-7272,2.飲食店（酒類提供あり）,
531,手づくり料理と地酒　だいこんや,010-0951,秋田市,山王二丁目２－３,,018-864-3013,2.飲食店（酒類提供あり）,
532,とっぴんぱらりのぷ,010-0874,秋田市,千秋久保田町116－1　秋田駅前ビル5F,,018-801-1200,2.飲食店（酒類提供あり）,
533,ひょうたん広面店,010-0041,秋田市,広面字堤敷61-5,,018-834-0000,2.飲食店（酒類提供あり）,
534,パンプルムゥス秋田店,010-0921,秋田市,大町3丁目1-6 那波ビル,,018-801-6677,2.飲食店（酒類提供あり）,
535,弥助そば　秋田総本店,010-0874,秋田市,千秋久保田町116-1,,018-801-1212,2.飲食店（酒類提供あり）,
536,鴨谷珈琲店,010-0001,秋田市,中通7丁目1-2 秋田ステーションビル トピコ3F,,018-801-1155,2.飲食店（酒類提供あり）,
537,赤居文庫,010-0001,秋田市,中通4-6-16　M's Birudjingu 1F,,018-801-5001,2.飲食店（酒類提供あり）,
538,アーティーチョーク,010-0001,秋田市,中通2-6-44,,018-893-4566,2.飲食店（酒類提供あり）,
539,秋田きりたんぽ屋　大町店,010-0921,秋田市,大町4丁目2-20,,018-801-3311,2.飲食店（酒類提供あり）,
540,秋田きりたんぽ屋　本店,010-0001,秋田市,中通2-7-6　緑屋ビル1F,,018-801-2345,2.飲食店（酒類提供あり）,
541,さけ富,010-0921,秋田市,大町5丁目1-27　なかや大町ビル1F,,018-866-8888,2.飲食店（酒類提供あり）,
542,紀伊国屋,010-0001,秋田市,中通2-6-44,,018-893-4560,2.飲食店（酒類提供あり）,
543,トリス軒,010-0001,秋田市,中通4-16-11,,018-834-9191,2.飲食店（酒類提供あり）,
544,秋田番屋酒場,010-0874,秋田市,千秋久保田町116-1　秋田駅前ビル3F,,018-801-6700,2.飲食店（酒類提供あり）,
545,いろり家,010-0921,秋田市,大町4-2-26,,018-864-3999,2.飲食店（酒類提供あり）,
546,秋田川反漁屋酒場,010-0921,秋田市,大町4-2-35,,018-865-8888,2.飲食店（酒類提供あり）,
547,秋田長屋酒場,010-0001,秋田市,中通4丁目16－17,,018-837-0505,2.飲食店（酒類提供あり）,
548,薄利多売半兵ヱ　秋田駅前店,010-0874,秋田市,千秋久保田町116－1　秋田駅前ビル4F,,018-801-3355,2.飲食店（酒類提供あり）,
549,薄利多売半兵ヱ　秋田川反店,010-0921,秋田市,大町5-1-3 八番館ビル1F,,018-823-1717,2.飲食店（酒類提供あり）,
550,ナガハマコーヒー御野場店,010-1421,秋田市,仁井田本町5-8-28,,018-853-0711,1.飲食店（酒類提供なし）,
551,ナガハマコーヒー秋田赤十字病院店,010-1495,秋田市,上北手猿田字苗代沢222-1,,018-827-3377,1.飲食店（酒類提供なし）,
552,ナガハマコーヒー外旭川店,010-0802,秋田市,外旭川小谷地110-1,,018-868-7301,1.飲食店（酒類提供なし）,
553,ナガハマコーヒー秋田駅前店,010-0874,秋田市,千秋久保田町4-2　秋田オーパ1F,,018-825-7051,1.飲食店（酒類提供なし）,
554,ナガハマコーヒー山王店,010-0951,秋田市,山王1-2-24-101,,018-896-5081,1.飲食店（酒類提供なし）,
555,ナガハマコーヒー広面店,010-0041,秋田市,広面近藤堰越61-2,,018-834-8125,1.飲食店（酒類提供なし）,
556,セブンイレブン秋田セリオンタワー前店,011-0945,秋田市,土崎港西１－６－２５,,018-846-2566,4.コンビニ・スーパー,
557,セブンイレブン　秋田外旭川八柳2丁目店,010-0803,秋田市,外旭川八柳2丁目2‐20,,018-868-5526,4.コンビニ・スーパー,
558,セブンイレブン秋田通町店,010-0921,秋田市,大町1-2-12,,018-866-9100,4.コンビニ・スーパー,
559,セブン-イレブン秋田山王5丁目店,010-0951,秋田市,山王5-8-10,,018-862-0711,4.コンビニ・スーパー,
560,ポプラ薬局,010-0001,秋田市,中通4-1-40,,018-835-1535,21.その他,ドラッグストア
561,池田薬局　ほのぼの店,010-0041,秋田市,広面蓮沼87-1,,018-884-0090,21.その他,ドラッグストア
562,池田薬局　中通り店,010-0001,秋田市,中通5-7-1,,018-835-3385,21.その他,ドラッグストア
563,池田薬局　通町店,010-0921,秋田市,大町1-2-26,,018-853-4831,21.その他,ドラッグストア
564,池田薬局　山王中園店,010-0953,秋田市,山王中園町10-28,,018-883-0780,21.その他,ドラッグストア
565,薬王堂　秋田天徳寺通店,010-0812,秋田市,泉三嶽根7番23号,,018-893-4861,21.その他,薬局
566,薬王堂　秋田東通店,010-0003,秋田市,東通七丁目7番16号,,018-827-6221,21.その他,薬局
567,薬王堂　秋田河辺店,019-2625,秋田市,河辺北野田高屋字上前田表45番地1,,018-827-5826,21.その他,薬局
568,薬王堂　秋田外旭川店,010-0802,秋田市,外旭川字小谷地61,,018-868-9666,21.その他,薬局
569,薬王堂　秋田茨島店,010-0061,秋田市,卸町五丁目6番1号,,018-823-0085,21.その他,薬局
570,Kissaten,010-0001,秋田市,中通2-7-4,コセキビル2F,018-836-0769,1.飲食店（酒類提供なし）,
571,寛文五年堂　秋田店,010-0001,秋田市,中通一丁目４－３,,018-874-2114,2.飲食店（酒類提供あり）,
572,ふるさと温泉ユアシス,010-1342,秋田市,雄和神ケ村字舟卸145-2,,018-887-2575,21.その他,宿泊施設
573,海鮮ダイニングはなの夢まぐろや,010-0001,秋田市,中通5-2-1,,018-825-5411,2.飲食店（酒類提供あり）,
574,ハッピードラック秋田新屋店,010-1633,秋田市,新屋鳥木町3-2,,018-827-7765,21.その他,ドラッグストア
575,ハッピードラック秋田泉北店,010-0916,秋田市,泉北1丁目17-34,,018-838-7556,21.その他,ドラッグストア
576,銀座マギーアルス店,010-0001,秋田市,中通7-2-1,秋田アルス1F,018-836-0720,21.その他,衣料品
577,レストランルセット,010-0921,秋田市,大町1-2-10,,018-874-9645,2.飲食店（酒類提供あり）,
578,バー・ロータス,010-0001,秋田市,中通1-3-5,,018-834-1141,21.その他,宿泊施設
579,秋田車屋秋田キャッスルホテル店,010-0001,秋田市,中通1-3-5,,018-831-5545,2.飲食店（酒類提供あり）,
580,東天紅秋田キャッスルホテル店,010-0001,秋田市,中通1-3-5,,018-832-1010,2.飲食店（酒類提供あり）,
581,キャッスル・デリカ,010-0001,秋田市,中通1-3-5,,018-834-3938,3.小売（お土産等）,
582,ダイニングレストラン　ザ・キャッスル,010-0001,秋田市,中通1-3-5,,018-834-1141,21.その他,宿泊施設
583,イエローハット秋田新国道店,010-0962,秋田市,八橋大畑1-1-37,,018-838-5018,21.その他,自動車用品小売業
584,イエローハット秋田土崎店,011-0951,秋田市,土崎港相染町街道下33-5,,018-857-0202,21.その他,自動車用品小売業
585,イエローハット秋田広面店,010-0041,秋田市,広面字堤敷66-1,,018-884-1680,21.その他,自動車用品小売業
586,ホテルパールシティ秋田川反,010-0921,秋田市,大町3丁目4-18,,018-865-2111,21.その他,宿泊施設
587,秋田特産さいとうイオン御所野店,010-1413,秋田市,御所野地蔵田1-1-1,,018-889-6616,3.小売（お土産等）,
588,秋田特産さいとうトピコ店,010-0001,秋田市,中通7丁目1-2,,018-832-8414,3.小売（お土産等）,
589,和モダン六花　秋田店,010-8530,秋田市,中通７丁目1－2,トピコ2F,018-834-0611,3.小売（お土産等）,
590,さきがけニュースカフェ,010-0001,秋田市,中通１丁目４－３,,018-874-8171,1.飲食店（酒類提供なし）,
591,あきた舞妓劇場,010-0876,秋田市,千秋公園1-3,,018-827-3241,18.劇場、観覧場、映画館、演劇場,
592,あっぱれ寿司　秋田駅東店,010-0851,秋田市,手形字西谷地４１６,,018-884-0101,2.飲食店（酒類提供あり）,
593,しちりん家,010-0921,秋田市,大町3丁目2-30　アジマックス川反ビル　2F,,018-883-3737,2.飲食店（酒類提供あり）,
594,あっぱれ　いなせ家,010-0816,秋田市,泉字登木211-1,,018-883-1146,2.飲食店（酒類提供あり）,
595,藤よし　山王店,010-0953,秋田市,山王中園町3-23,,018-823-8824,2.飲食店（酒類提供あり）,
596,藤よし　秋田山手台店,010-1429,秋田市,山手台１丁目１－７,,018-892-6331,2.飲食店（酒類提供あり）,
597,カルビ屋大福　秋田山王店,010-0951,秋田市,山王３丁目５－３２,,018-824-4180,2.飲食店（酒類提供あり）,
598,カルビ屋大福　山手台店,010-1429,秋田市,山手台１丁目１－７,,018-892-6331,2.飲食店（酒類提供あり）,
599,きりたんぽの老舗佐田商店,011-0946,秋田市,土崎港中央1丁目1-1,,018-845-0755,3.小売（お土産等）,
600,竹谷本店トピコ店,010-0001,秋田市,中通7丁目1-2,,018-889-3579,21.その他,宝石店
601,竹谷本店広小路店,010-0001,秋田市,中通2丁目4-3,,018-835-1331,21.その他,宝石店
602,温泉センターりらっくす,010-0822,秋田市,添川字境内川原１４２－１,,018-833-7171,1.飲食店（酒類提供なし）,
603,秋田温泉さとみ売店,010-0822,秋田市,添川字境内川原１４２－１,,018-833-7171,3.小売（お土産等）,
604,吉田商店,010-0041,秋田市,広面字谷内佐渡33-1,,018-832-3768,3.小売（お土産等）,
605,菅久商店,010-0001,秋田市,中通4丁目14-8,,018-833-6336,3.小売（お土産等）,
606,秋田温泉プラザ,010-0822,秋田市,添川境内川原142-3,,018-833-1919,21.その他,宿泊施設
607,ホテルなにわ,010-0001,秋田市,中通6丁目18-27,,018-832-4570,21.その他,宿泊施設
608,駅そばしらかみ庵,010-0001,秋田市,中通7丁目1-2,,018-825-9540,2.飲食店（酒類提供あり）,
609,関根屋トピコ駅弁売店,010-0001,秋田市,中通7丁目1-2,,018-889-3284,3.小売（お土産等）,
610,関根屋,010-0003,秋田市,東通1丁目1-26,,018-833-6461,3.小売（お土産等）,
611,サンキューマート 秋田OPA店,010-0874,秋田市,千秋久保田町4-2,秋田OPA　B1,018-874-7540,21.その他,古着屋
612,ふるまち,010-0001,秋田市,中通４丁目１４－２０,,018-893-3775,2.飲食店（酒類提供あり）,
613,秋田県健康増進交流センターユフォーレ,019-2742,秋田市,河辺三内字丸舞1-1,,018-884-2111,21.その他,宿泊施設
614,JEWELRY KAMATA 秋田新国道店,010-0962,秋田市,八橋大畑1-6-30,,018-874-8071,21.その他,眼鏡店
615,炭火串焼　げんき屋　秋田駅前店,010-0001,秋田市,中通二丁目７－２,,018-838-0315,2.飲食店（酒類提供あり）,
616,レトロカフェ異人館,010-0973,秋田市,八橋本町1-1-46,,018-853-0179,1.飲食店（酒類提供なし）,
617,Can I Dressy 秋田店,010-0001,秋田市,中通2-8-1,フォンテ2F,018-838-0138,21.その他,ネイルサロン
618,美容室Hanako 八橋店,010-0973,秋田市,八橋本町1-1-46,,018-853-0178,21.その他,美容室
619,美容室Hanako 川元店,010-0934,秋田市,川元むつみ町7-16,,018-893-6036,21.その他,美容室
620,美容室Hanako 外旭川店,010-0802,秋田市,外旭川八柳3-14-47,,018-893-6761,21.その他,美容室
621,美容室Hanako 東通店,010-0002,秋田市,東通仲町2-16,,018-831-2555,21.その他,美容室
622,ニッポンレンタカー 秋田山王十字路営業所,010-0923,秋田市,旭北錦町１-２,,018-863-0919,12.レンタカー,
623,ニッポンレンタカー 秋田空港前営業所,010-1211,秋田市,雄和椿川字山籠４０-１,,018-886-3788,12.レンタカー,
624,ニッポンレンタカー 秋田駅東口営業所,010-0851,秋田市,手形字西谷地４０３－１,,018-832-5798,12.レンタカー,
625,駅レンタカー　秋田営業所,010-0001,秋田市,中通7-1-2,トピコ・アルス第1駐車場1階,018-833-9308,12.レンタカー,
626,オリックスレンタカー秋田空港店,010-1211,秋田市,雄和椿川字山籠40-1,,018-881-0543,12.レンタカー,
627,和バル　すしえど,010-0003,秋田市,東通1-3-23,,018-827-5988,2.飲食店（酒類提供あり）,
628,回転寿司すし江戸　茨島店,010-0065,秋田市,茨島6-1-32,,018-874-9031,2.飲食店（酒類提供あり）,
629,回転寿司すし江戸　山手台本店,010-1429,秋田市,山手台1-1-7,,018-893-4468,2.飲食店（酒類提供あり）,
630,オリックスレンタカー秋田新国道店,010-0816,秋田市,泉字登木207-1,,018-883-1335,12.レンタカー,
631,オリックスレンタカー秋田駅西口店,010-0001,秋田市,中通6-12-40,,018-837-3900,12.レンタカー,
632,ツルハドラッグ　秋田南通店,010-0013,秋田市,南通築地3-5,,018-853-7179,21.その他,薬局
633,ツルハドラッグ　東通店,010-0003,秋田市,東通8-1-31,,018-887-3922,21.その他,薬局
634,ツルハドラッグ　秋田楢山店,010-0029,秋田市,楢山川口境4-21,,018-884-3268,21.その他,薬局
635,ツルハドラッグ　茨島店,010-0065,秋田市,茨島4-3-21,,018-896-5157,21.その他,薬局
636,ツルハドラッグ　秋田広面北店,010-0041,秋田市,広面字蓮沼94-1,,018-884-1882,21.その他,薬局
637,ツルハドラッグ　八橋店,010-0965,秋田市,八橋新川向1-25,,018-883-0232,21.その他,薬局
638,ツルハドラッグ　秋田川尻店,010-0943,秋田市,川尻御休町5-27,,018-883-3268,21.その他,薬局
639,ツルハドラッグ　秋田土崎店,011-0941,秋田市,土崎港北7-2-24,,018-880-3268,21.その他,薬局
640,ツルハドラッグ　秋田将軍野店,011-0931,秋田市,将軍野東3-6-41,,018-880-5488,21.その他,薬局
641,ツルハドラッグ　秋田泉南店,010-0918,秋田市,泉南3-23-24,,018-896-1268,21.その他,薬局
642,ツルハドラッグ　外旭川店,010-0802,秋田市,外旭川字小谷地33-1,,018-869-7051,21.その他,薬局
643,ツルハドラッグ　秋田仁井田店,010-1427,秋田市,仁井田新田2-5-16,,018-829-7268,21.その他,薬局
644,ツルハドラッグ　秋田御所野店,010-1414,秋田市,御所野元町1-1-17,,018-892-6180,21.その他,薬局
645,ツルハドラッグ　秋田広面店,010-0041,秋田市,広面字樋ノ沖93-1,,018-884-3137,21.その他,薬局
646,ツルハドラッグ　秋田寺内店,011-0903,秋田市,寺内油田1-4-10,,018-880-6268,21.その他,薬局
647,ツルハドラッグ　秋田中通店,010-0001,秋田市,中通2-1-46,,018-889-2155,21.その他,薬局
648,味治,010-0921,秋田市,大町5-2-7,,018-864-5972,2.飲食店（酒類提供あり）,
649,パブロカザルス秋田,010-0001,秋田市,中通7-1-2,,018-835-6605,2.飲食店（酒類提供あり）,
650,中華料理　東天閣,010-0922,秋田市,旭北栄町5-23,,018-823-5806,2.飲食店（酒類提供あり）,
651,秋田まるごと市場,010-0061,秋田市,卸町2-2-7,,018-866-8001,3.小売（お土産等）,
652,銀座セキネ秋田店,010-0001,秋田市,中通2-1-22,,018-827-5950,21.その他,アクセサリー
653,最八商店,011-0946,秋田市,土崎港中央1-14-17,,018-845-0560,21.その他,酒類販売店
654,カニの店第八男鹿丸,011-0945,秋田市,土崎港西1-3-27,,018-846-7311,3.小売（お土産等）,
655,旭川かもしか給油所,010-0834,秋田市,旭川南町8-34,,018-833-2475,21.その他,ガソリンスタンド
656,道の駅秋田港,011-0945,秋田市,土崎港西1-9-1,,018-857-3381,3.小売（お土産等）,
657,てもみん秋田アルス店,010-0001,秋田市,中通7-2-1,おしゃれかんアルス1階,018-884-1221,21.その他,リラクゼーション、ボディケア
658,ラビアン秋田店,010-0001,秋田市,中通1-3-5,,018-836-1907,21.その他,靴屋
659,杉山壽山堂トピコ店,010-0001,秋田市,中通7-1-2,,018-889-3578,3.小売（お土産等）,
660,杉山壽山堂ポンドール店,010-0941,秋田市,川尻町字大川反170-82,,018-823-5185,3.小売（お土産等）,
661,紳士服のコナカ秋田新国道店,010-0816,秋田市,泉字登木202-1,,018-866-0313,21.その他,小売（衣料品等）
662,秋田駅前酒房ぐらん炭,010-0001,秋田市,中通4-13-6,,018-807-4388,2.飲食店（酒類提供あり）,
663,一乃穂,010-0001,秋田市,中通2-4-15,,018-837-3800,3.小売（お土産等）,
664,かおる堂イオン土崎港店,011-0943,秋田市,土崎港南2-3-41,,018-847-0622,3.小売（お土産等）,
665,かおる堂本社工場,010-0941,秋田市,川尻町字大川反170-82,,018-864-4500,3.小売（お土産等）,
666,かおる堂トピコ店,010-0001,秋田市,中通7-1-2,,018-832-1782,3.小売（お土産等）,
667,かおる堂イオン秋田中央店,010-0029,秋田市,楢山川口境5-11,,018-836-5095,3.小売（お土産等）,
668,かおる堂大町店,010-0921,秋田市,大町4-3-11,,018-823-8377,3.小売（お土産等）,
669,かっぱ亭,010-0961,秋田市,イサノ2-16-29,,018-863-7811,2.飲食店（酒類提供あり）,
670,焼き肉レストラン大昌園,010-0001,秋田市,中通5-3-22,,018-834-4810,2.飲食店（酒類提供あり）,
671,YA-YAStazioneB,010-0001,秋田市,中通7丁目1-2,トピコ3階レストランフロア,018-893-6788,2.飲食店（酒類提供あり）,
672,OHASHIBistoro88バル,010-0001,秋田市,中通1丁目4-3,エリアなかいち商業施設内,018-838-7588,2.飲食店（酒類提供あり）,
673,カフェGRISSINI,010-0001,秋田市,中通1丁目4-3,エリアなかいち商業施設内,018-853-1199,2.飲食店（酒類提供あり）,
