市町村,旅 行 会 社 名,住　　　　所,電 話 番 号,登録日
湯沢市,奥山旅館,湯沢市高松字泥湯沢25,0183-79-3021,4月1日
湯沢市,湯沢グランドホテル,湯沢市材木町1丁目1-1,0183-72-3030,4月1日
湯沢市,湯けむりの宿　稲住温泉,湯沢市秋ノ宮字山居野11,0183-58-1900,4月2日
湯沢市,温泉旅館　おなじみ荘,湯沢市秋の宮字山居野11－28,0183-56-2415,4月1日
湯沢市,鷹の湯温泉,湯沢市秋ノ宮字殿上1,0183-56-2141,4月6日
湯沢市,秋の宮山荘,湯沢市秋ノ宮字殿上1-1,0183-56-2400,4月1日
湯沢市,宝寿温泉,湯沢市秋ノ宮字畑45,0183-56-2733,4月1日
湯沢市,旅館　小町荘,湯沢市小野字西場122-1,0183-52-2140,4月5日
湯沢市,菊地旅館,湯沢市上院内字小沢112-10,0183-52-2329,4月1日
湯沢市,旅館美山荘,湯沢市清水町2丁目4-13,0183-73-6120,4月1日
湯沢市,湯沢ロイヤルホテル,湯沢市田町2丁目2-39,0183-72-2131,4月1日
湯沢市,湯沢温泉,湯沢市湯ノ原2丁目4-64,0183-73-0135,4月1日
湯沢市,ほほえみの郷　観音湯,湯沢市髙松字大日台48,0183-79-2646,4月1日
羽後町,川原田館,羽後町西馬音内字川原田81-1,0183-62-2131,4月9日
羽後町,yado&kissa UGOHUB,羽後町西馬音内字本町19,090-7428-8697,6月8日
羽後町,五輪坂温泉　としとらんど,羽後町足田字五輪坂下43-4,0183-62-4126,4月1日
東成瀬村,山野荘,東成瀬村岩井川字合居3-9,0182-47-2368,4月1日
東成瀬村,グルメペンション　お山の大将,東成瀬村岩井川字沼又59-40,0182-47-3715,4月13日
東成瀬村,ペンションきのこ舎,東成瀬村岩井川字川通28-8,0182-47-2255,4月23日
東成瀬村,須川温泉　栗駒山荘,東成瀬村椿川字仁郷山国有林内,0182-47-5111,4月2日
東成瀬村,やまゆり温泉ホテルブラン,東成瀬村椿川字柳沢39-7,0182-47-3104,4月1日
東成瀬村,なるせ温泉　東仙歩,東成瀬村椿川真戸30-1,0182-47-3181,4月2日
