1311,道の駅おおゆ 大湯えんがわショップ,018-5421,鹿角市,十和田大湯字中谷地19,,0186-22-4184,3.小売(お土産等),
1312,道の駅おおゆ 大湯えんがわカフェ,018-5421,鹿角市,十和田大湯字中谷地19,,0186-22-4184,1.飲食店(酒類提供なし),
1313,湯沢タクシー,012-0827,湯沢市,表町3-1-15,,0183-73-2612,7.ハイヤー・タクシー,
1314,ファミリーマート由利本荘岩城店,018-1301,由利本荘市,岩城内道川字井?ノ沢84-94,,0184-62-6711,4.コンビニ・スーパー,
1315,ファミリーマート横手二番町店,013-0037,横手市,前郷二番町7-24,,0182-35-4161,4.コンビニ・スーパー,
1316,林泉堂ラッキー店,019-0505,横手市,十文字町仁井田東22-1,,0182-42-4344,1.飲食店(酒類提供なし),
1317,林泉堂角館店,014-0369,仙北市,角館町上菅沢442-1,,0187-55-5055,1.飲食店(酒類提供なし),
1318,ヤマダデンキ テックランドNew湯沢店,012-0000,湯沢市,字上荻生田126,,0183-79-5001,21.その他,家電
1319,道の駅ひない,018-5701,大館市,比内町扇田字大堤下93-11,,0186-55-1000,2.飲食店(酒類提供あり),
1320,イオンスーパーセンター美郷店,019-1231,仙北市美郷町,南町字南高野34,,0187-87-8860,4.コンビニ・スーパー,
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1321,秋北タクシー(株),017-0043,大館市,御成町1-11-25,,0186-42-3533,7.ハイヤー・タクシー,
1322,みんなのやさい畑,010-8530,秋田市,中通7-2-1,,018-834-6262,3.小売(お土産等),
1323,セブンイレブン男鹿船越店,010-0341,男鹿市,船越字内子81番3,,0185-35-2101,4.コンビニ・スーパー,
1324,丸宮タクシー,018-3322,北秋田市,住吉町8-7-2,,0186-62-2030,7.ハイヤー・タクシー,
1325,牛角泉北秋田店,010-0916,秋田市,泉北2-3-17,,018-893-4829,2.飲食店(酒類提供あり),
1326,アスビーファム新大館店,017-0041,大館市,大田面238,イオンスーパーセンター大舘店内,0186-44-6525,21.その他,衣料品店
1327,サンデー花輪店,018-5201,鹿角市,花輪字蒼前平62番地2,,0186-23-4220,21.その他,ホームセンター
1328,サンデー角館店,014-0366,仙北市,角館町下菅沢150の1,,0187-54-1530,21.その他,ホームセンター
1329,(株)サンデー 秋田御野場店,010-1424,秋田市,仁井田本町五丁目10番1号,,018-829-1464,21.その他,ホームセンター
1330,(株)サンデー 能代店,016-0188,能代市,字寺向105番,,0185-52-8481,21.その他,ホームセンター
1331,(株)サンデー 鷹巣店,018-3302,北秋田市,栄字中綱16番地,,0186-62-6101,21.その他,ホームセンター
1332,(株)サンデー 大曲店,014-0033,大仙市,和合字坪立155番地,,0187-62-3993,21.その他,ホームセンター
1333,(株)サンデー ホームマート比内店,018-5701,大館市,比内町扇田字?岡下13番地1,,0186-45-4171,21.その他,ホームセンター
1334,(株)サンデー ホームマート小坂店,017-0201,鹿角郡小坂町,小坂字中前田55番地1,,0186-30-7900,21.その他,ホームセンター
1335,(株)サンデー 秋田八橋店,010-0977,秋田市,八橋大道東1番地7号,,018-865-0600,21.その他,ホームセンター
1336,(株)サンデー 秋田自衛隊通店,011-0941,秋田市,土崎港北2丁目17番77号,,018-880-0530,21.その他,ホームセンター
1337,(株)ヤマダデンキテックランド大仙店,014-0032,大仙市,東川字屋敷後223,,0187-66-3511,21.その他,家電
1338,さかなや道場秋田駅前店,010-0001,秋田市,中通2-7-6,緑屋ビル1F,018-884-3411,2.飲食店(酒類提供あり),
1339,花心亭しらはま,014-1204,仙北市,田沢湖田沢字春山145-15,,0187-43-0436,21.その他,宿泊施設
1340,湖畔浪漫の宿 かたくりの花,014-1204,仙北市,田沢湖田沢字春山197-15,,0187-43-1200,21.その他,宿泊施設
1341,イオンスーパーセンター湯沢店,012-0000,湯沢市,字上萩生田162,,0183-78-0088,4.コンビニ・スーパー,
1342,湯沢市川連漆器伝統工芸館,012-0105,湯沢市,川連町字大舘中野142-1,,0183-42-2410,3.小売(お土産等),
1343,ローソン横手柳田店,013-0054,横手市,柳田字石田61,,0182-35-5688,4.コンビニ・スーパー,
1344,ローソン横手駅前町店,013-0036,横手市,駅前町9-5,,0182-23-7555,4.コンビニ・スーパー,
1345,大黑屋,015-0075,由利本荘市,花畑町1-30,,0184-23-4096,2.飲食店(酒類提供あり),
1346,ファミリーマート+Aコープあいかわ,018-4211,北秋田市,川井字鳥屋沢25,,0186-78-9003,4.コンビニ・スーパー,
1347,ローソン二ツ井町店,018-3151,能代市,二ツ井町字三千苅85-1,,0185-73-5663,4.コンビニ・スーパー,
1348,軽食喫茶ピープル,014-1201,仙北市,田沢湖生保内字男坂88,,0187-43-2008,2.飲食店(酒類提供あり),
1349,国際タクシー株式会社,010-0023,秋田市,楢山山本町3-3,,018-832-2515,7.ハイヤー・タクシー,
1350,孫六温泉,014-1204,仙北市,田沢湖田沢字先達沢国有林内,,0187-46-2224,21.その他,宿泊施設
1351,TSUTAYA仁井田店,010-1421,秋田市,仁井田本町5-1-20,,018-839-4646,21.その他,レンタルCD・DVD
1352,TSUTAYA中野店,010-0146,秋田市,下新城中野字琵琶沼384-1,,018-873-7622,21.その他,レンタルCD・DVD
1353,TSUTAYA広面店,010-0041,秋田市,広面字近藤堰越63-1,,018-837-4646,21.その他,レンタルCD・DVD
1354,TSUTAYA横手店,013-0043,横手市,安田字向田179-1,,0182-36-4646,21.その他,レンタルCD・DVD
1355,TSUTAYA湯沢店,012-0032,湯沢市,元清水4丁目3-24,,0183-79-5030,21.その他,レンタルCD・DVD
1356,有限会社つばさ観光,017-0878,大館市,川口字洞バミ45-8,,0186-42-0283,6.バス,
1357,スーパーモールラッキー,019-0505,横手市,十文字町仁井田字東22-1,,0182-42-3996,4.コンビニ・スーパー,
1358,マルシメ七日町店,019-0701,横手市,増田町増田七日町136,,0182-45-3224,4.コンビニ・スーパー,
1359,NEED THE PLACE,010-0011,秋田市,南通?の町4-15,,018-827-6500,4.コンビニ・スーパー,
1360,更紗,010-0001,秋田市,中通7-1-2,,018-889-3559,3.小売(お土産等),
1361,Treehouse,010-0001,秋田市,中通2丁目8-1,フォンテAKITA2階,018-832-1730,3.小売(お土産等),
1362,札幌海鮮丸 能代店,016-0854,能代市,字豊祥岱1-7,,0185-55-3876,3.小売(お土産等),
1363,ファミリーマート秋田空港店,010-1211,秋田市,雄和椿川字山籠49,,018-881-3106,4.コンビニ・スーパー,
1364,ファミリーマート下新城中野店,010-0146,秋田市,下新城中野字琵琶沼219-7,,018-872-1301,4.コンビニ・スーパー,
1365,ファミリーマート河辺和田店,019-2601,秋田市,河辺和田字坂本南284-5,,018-881-1315,4.コンビニ・スーパー,
1366,サーティワン アイスクリームイオンモール秋田店,010-1413,秋田市,御所野地蔵田1-1-1,,018-829-4431,3.小売(お土産等),
1367,サーティワン アイスクリーム秋田茨島マックスバリュ店,010-0065,秋田市,茨島4-3-18,,018-862-0431,3.小売(お土産等),
1368,サーティワン アイスクリームイオンモール大曲店,014-0033,大仙市,大曲和合字坪立177,,0187-66-3431,3.小売(お土産等),
1369,サーティワン アイスクリームイオンスーパーセンター横手南店,013-0063,横手市,婦気大堤字中田4-1,イオンスーパーセンター横手南店,F0182-36-8531,3.小売(お土産等),
1370,ローソン 八郎潟夜叉袋店,018-1606,南秋田郡八郎潟町,夜叉袋字松ノ木110,,018-855-4880,4.コンビニ・スーパー,
1371,湯沢ロイヤルホテル,012-0844,湯沢市,田町2-2-38,,0183-72-2131,21.その他,宿泊施設
1372,ヤマザキデイリーストアー昭和町店,018-1401,潟上市,昭和大久保字堤の上91-88,,018-877-4061,4.コンビニ・スーパー,
1373,ユニクロ フレスポ本荘店,015-0011,由利本荘市,石脇字田頭162,,0184-28-1105,21.その他,アパレル
1374,ファミリーマート秋田割山店,010-1605,秋田市,新屋勝平町4-19,,018-883-3168,4.コンビニ・スーパー,
1375,ファミリーマート秋田土崎中央店,011-0946,秋田市,土崎港中央1-16-41,,018-880-3350,4.コンビニ・スーパー,
1376,焼肉 次今,017-0044,大館市,御成町1?10?4,,0186-42-9229,2.飲食店(酒類提供あり),
1377,ローソン 大仙角間川町店,014-1413,大仙市,角間川町字二本杉25-10,,0187-65-3123,4.コンビニ・スーパー,
1378,ローソン 横手二葉町店,013-0019,横手市,二葉町9-63,,0182-23-7031,4.コンビニ・スーパー,
1379,ローソン 横手赤坂館ノ下店,013-0064,横手市,赤坂字館ノ下148,,0182-36-5045,4.コンビニ・スーパー,
1380,ローソン 大森町店,013-0503,横手市,大森町十日町字?女郎出1,,0182-26-2912,4.コンビニ・スーパー,
1381,浮田産交タクシー 本社,010-1623,秋田市,新屋町字渋谷地96-14,,018-888-9600,7.ハイヤー・タクシー,
1382,浮田産交タクシー 北浦営業所,010-0683,男鹿市,北浦北浦字忍田78-1,,0185-47-7011,7.ハイヤー・タクシー,
1383,イオンスーパーセンター大館店,017-0041,大館市,字大田面238番,,0186-44-6800,4.コンビニ・スーパー,
1384,ローソン 田沢湖造道店,014-1201,仙北市,田沢湖生保内町田154-4,,0187-43-3963,4.コンビニ・スーパー,
1385,ローソン 田沢湖生保内店,014-1201,仙北市,田沢湖生保内字野中154-1,,0187-43-1868,4.コンビニ・スーパー,
1386,ローソン峰浜沼田店,018-2509,山本郡八峰町,峰浜沼田字砂坂5-1,,0185-70-3636,4.コンビニ・スーパー,
1387,ローソン大館御成町二丁目店,017-0044,大館市,御成町2-179,,0186-43-5088,4.コンビニ・スーパー,
1388,ローソン 大館釈迦内南店,017-0012,大館市,釈迦内字稲荷山下280-1,,0186-48-2406,4.コンビニ・スーパー,
1389,アスビーファム湯沢店,012-0000,湯沢市,字上萩生田162,イオンスーパーセンター湯沢店内,0183-79-6222,21.その他,衣料品店
1390,あきた角館?宮家,014-0311,仙北市,角館町田町上丁11-1,,0187-52-2438,2.飲食店(酒類提供あり),
1391,稲庭中華そば秋田本店,010-0001,秋田市,中通6-19-8,,018-853-8121,2.飲食店(酒類提供あり),
1392,ローソン秋田外旭川八柳店,010-0803,秋田市,外旭川八柳3-16-8,,018-868-1539,4.コンビニ・スーパー,
1393,イオンスーパーセンター横手南店,013-0063,横手市,大字婦気大堤字中田4-1,,0182-35-2340,4.コンビニ・スーパー,
1394,牛角 由利本荘店,015-0852,由利本荘市,一番堰194-1,,018-428-4129,2.飲食店(酒類提供あり),
1395,ヤマダデンキ 家電住まいる館YAMADA秋田本店,010-0976,秋田市,八橋南2-4-6,,018-883-0800,21.その他,家電
1396,ヴィ・ド・フランス秋田,010-0001,秋田市,中通7-1-2,トピコ1F,018-884-0046,3.小売(お土産等),
1397,ローソン 秋田保?野原の町店,010-0904,秋田市,保?野原の町8-43,,018-867-8805,4.コンビニ・スーパー,
1398,ローソン 秋田保?野千代田町店,010-0914,秋田市,保?野千代田町13-37,,018-853-0177,4.コンビニ・スーパー,
1399,ローソン 秋田日赤病院前店,010-1403,秋田市,上北手荒巻字堺切27-1,,018-829-5070,4.コンビニ・スーパー,
1400,ローソン 北秋田米内沢中島店,018-4301,北秋田市,米内沢中島40-3,,0186-67-6709,4.コンビニ・スーパー,
1401,?荷山荘,014-1201,仙北市,田沢湖生保内字下高野73-14,,0187-46-2256,21.その他,宿泊施設
1402,Dining想,010-0921,秋田市,大町一丁目3-22,,018-866-1237,2.飲食店(酒類提供あり),
1403,セブン-イレブン 秋田旭南1丁目店,010-0925,秋田市,旭南1丁目9-26,,018-864-1750,4.コンビニ・スーパー,
1404,ローソン 秋田キャッスルホテル店,010-0001,秋田市,中通1-3-5,,018-884-6847,4.コンビニ・スーパー,
1405,ローソン 秋田駅?店,010-0874,秋田市,千秋久保田町3-15,,018-836-7177,4.コンビニ・スーパー,
1406,ローソン 秋田泉ななかまど通り店,010-0904,秋田市,保?野原の町16-33,,018-863-5653,4.コンビニ・スーパー,
1407,ローソン 山本森岳店,018-2303,山本郡三種町,森岳字?田42-3,,0185-83-5016,4.コンビニ・スーパー,
1408,ローソン大仙堀見内店,014-0113,大仙市,堀見内字元田茂木54-7,,0187-87-2898,4.コンビニ・スーパー,
1409,ローソン 美郷六郷琴平東店,019-1404,仙北郡美郷町,六郷字琴平東178-5,,0187-84-1015,4.コンビニ・スーパー,
1410,ローソン中仙町店,014-0207,大仙市,?野字柳田31-1,,0187-56-4700,4.コンビニ・スーパー,
1411,ローソン 角館武家屋敷店,014-0323,仙北市,角館町横町42-1,,0187-53-3707,4.コンビニ・スーパー,
1412,ローソン 角館岩瀬店,014-0366,仙北市,角館町下菅沢220-3,,0187-55-1107,4.コンビニ・スーパー,
1413,ローソン 湯沢清水町店,012-0033,湯沢市,清水町2-3-37,,0183-79-6585,4.コンビニ・スーパー,
1414,株式会社関小市商店,018-5201,鹿角市,花輪字中花輪132,,0186-22-1255,3.小売(お土産等),
1415,そば処たちそば,010-0011,秋田市,南通?の町1-3,,018-834-1851,2.飲食店(酒類提供あり),
1416,ローソン 大館川口店,017-0878,大館市,川口字大人沢117-1,,0186-49-0873,4.コンビニ・スーパー,
1417,ファミリーマート秋田赤れんが館通り店,010-0921,秋田市,大町五丁目4-25,,018-883-3700,4.コンビニ・スーパー,
1418,ファミリーマート由利本荘中梵天店,015-0851,由利本荘市,中梵天101-3,,0184-25-9671,4.コンビニ・スーパー,
1419,ファミリーマート大仙北楢岡店,019-1702,大仙市,北楢岡字嶋58-1,,0187-87-1600,4.コンビニ・スーパー,
1420,ファミリーマート秋田南通り店,010-0011,秋田市,南通?の町6-2,,018-884-3911,4.コンビニ・スーパー,
1421,ファミリーマート秋田仁井田新中島店,010-1423,秋田市,仁井田字新中島1138-2,,018-892-7220,4.コンビニ・スーパー,
1422,ファミリーマート秋田御野場二丁目店,010-1424,秋田市,御野場2-1-8,,018-892-6355,4.コンビニ・スーパー,
1423,ファミリーマート秋田茨島四丁目店,010-0065,秋田市,茨島四丁目19-54,,018-883-1810,4.コンビニ・スーパー,
1424,ローソン 秋田割山店,010-1612,秋田市,新屋豊町7-86,,018-867-2875,4.コンビニ・スーパー,
1425,アルファベッツアルファベット,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6574,21.その他,衣料品店
1426,axesfemme,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6647,21.その他,衣料品店
1427,ハニーズ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6598,21.その他,衣料品店
1428,アズノゥアズピンキー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-839-3600,21.その他,衣料品店
1429,平徳本店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-833-2228,21.その他,衣料品店
1430,ルピシア,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6586,21.その他,食品
1431,ディッパーダン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-838-7730,1.飲食店(酒類提供なし),
1432,ラグノオ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-4788,3.小売(お土産等),
1433,サンクゼール/久世福商店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-4070,21.その他,食品
1434,エガミ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-4113,21.その他,衣料品店
1435,ファンケル,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-4113,21.その他,雑貨
1436,ビューティーアイラッシュ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-838-7229,21.その他,エステ
1437,スターバックスコーヒー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6588,1.飲食店(酒類提供なし),
1438,アナヒータストーンズ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-3501,21.その他,雑貨
1439,無印良品,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6652,21.その他,雑貨
1440,お茶の井ヶ田 喜久水庵,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6959,1.飲食店(酒類提供なし),
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1441,アズールバイマウジー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-874-9125,21.その他,ファッション
1442,コムサイズム,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-8505,21.その他,衣料品店
1443,ベーネポスト,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-839-6556,21.その他,衣料品店
1444,ハピネス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-892-7106,21.その他,雑貨
1445,ポポ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6636,21.その他,化粧品
1446,オアシス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-826-0116,21.その他,衣服店
1447,アリー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6654,21.その他,化粧品
1448,フードボートカフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-5250,1.飲食店(酒類提供なし),
1449,果汁工房 果琳,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-3676,3.小売(お土産等),
1450,サンマルクカフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6963,1.飲食店(酒類提供なし),
1451,紅?餃子房,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6572,2.飲食店(酒類提供あり),
1452,ピアサピド,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-5513,2.飲食店(酒類提供あり),
1453,カルディコーヒーファーム,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6540,21.その他,食品
1454,グランブッフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6587,2.飲食店(酒類提供あり),
1455,炙り牛たん 万,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-827-3616,2.飲食店(酒類提供あり),
1456,しゃぶ菜,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6658,2.飲食店(酒類提供あり),
1457,丸啓,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6521,21.その他,宝飾
1458,23区,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-839-5656,21.その他,衣料品店
1459,ラフィネ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-838-5288,21.その他,リラクゼーション
1460,earth music&ecology,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6552,21.その他,衣料品店
1461,アメリカンホリック,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6518,21.その他,衣料品店
1462,ユニクロ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6876,21.その他,アパレル
1463,スタディオクリップ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6545,21.その他,衣料品店
1464,ニコアンド,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6536,21.その他,衣料品店
1465,グローバルワーク,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6547,21.その他,衣料品店
1466,ジーユー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-8710,21.その他,衣服店
1467,ザ ショップ ティーケー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6577,21.その他,衣料品店
1468,パリスジュリエット,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-9010,21.その他,雑貨
1469,コパン/ゆう助,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-893-4883,1.飲食店(酒類提供なし),
1470,ブリーズ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-893-5600,21.その他,衣料品店
1471,プティマイン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6542,21.その他,衣料品店
1472,フェイス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-853-0351,21.その他,雑貨
1473,ペッパーランチ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-839-2994,1.飲食店(酒類提供なし),
1474,島村楽器,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6681,21.その他,楽器
1475,HMV,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-892-6580,21.その他,CD&DVD販売
1476,ペテモ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6899,21.その他,ペット専門店
1477,メガネのアイアイ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6653,21.その他,眼鏡
1478,ABCマート,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-8395,21.その他,靴店
1479,ABCマート アネックス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-839-6203,21.その他,靴店
1480,リンガーハット,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-853-5846,1.飲食店(酒類提供なし),
1481,ライトオン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6898,21.その他,衣料品店
1482,エメフィール,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-9736,21.その他,衣料品店
1483,ベルーナ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-8701,21.その他,衣料品店
1484,未来屋書店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-892-6533,21.その他,書籍
1485,ワンズテラス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-8238,21.その他,雑貨
1486,パープルヘブン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6525,21.その他,雑貨
1487,コンタクトのアイシティ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-838-4761,21.その他,コンタクトレンズ
1488,チュチュアンナ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-7228,21.その他,衣料品店
1489,ASBee,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6897,21.その他,靴店
1490,フェミニンカフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-892-6026,21.その他,靴店
1491,SAAD,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-9520,21.その他,雑貨
1492,BRICK HOUSE by Tokyo Shirts,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6565,21.その他,衣料品店
1493,ikka,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6533,21.その他,衣料品店
1494,ハイダウェイ ニコル,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-892-6244,21.その他,衣料品店
1495,誉寿司,010-0913,秋田市,保?野鉄砲町2-21,,018-862-5065,2.飲食店(酒類提供あり),
1496,重右衛門,012-0183,湯沢市,皆瀬字小湯ノ上24-35,,0183-47-5320,2.飲食店(酒類提供あり),
1497,ローソン秋田土崎港?一丁目店,011-0943,秋田市,土崎港?一丁目3-38,,080-5558-9857,4.コンビニ・スーパー,
1498,セブン-イレブン秋田泉北3丁目店,010-0916,秋田市,泉北3丁目3-18,,018-823-5111,4.コンビニ・スーパー,
1499,米沢亭,013-0060,横手市,条里3丁目2-2,,0182-35-5529,2.飲食店(酒類提供あり),
1500,ローソン横手仁坂店,013-0064,横手市,赤坂字仁坂108-6,,0182-36-0477,4.コンビニ・スーパー,
1501,ローソン男鹿比詰店,010-0502,男鹿市,船川港日詰字大巻147-1,,0185-24-4919,4.コンビニ・スーパー,
1502,ローソン男鹿払?店,010-0431,男鹿市,払?字中樋149-5,,0185-46-4881,4.コンビニ・スーパー,
1503,ローソン男鹿船越店,010-0341,男鹿市,船越字一向54-1,,0185-35-3993,4.コンビニ・スーパー,
1504,デイリーヤマザキ湯沢関口店,012-0862,湯沢市,関口字上寺沢33-3,,0183-72-6681,4.コンビニ・スーパー,
1505,ファミリーマート秋田二ツ井店,018-3147,能代市,二ツ井町字小槻ノ木9,,0185-71-1466,4.コンビニ・スーパー,
1506,こまちタクシー企業組合,011-0906,秋田市,寺内後城22-2,,018-838-5281,7.ハイヤー・タクシー,
1507,セブンイレブン秋田山王大通り店,010-0951,秋田市,山王二丁目4-30,,018-865-2322,4.コンビニ・スーパー,
1508,樹の下やよしなり,014-0331,仙北市,角館町表町下丁13-1,,0187-55-4133,3.小売(お土産等),
1509,鉄板空間 縁,016-0825,能代市,柳町6-16,,0185-74-5474,2.飲食店(酒類提供あり),
1510,酒食彩宴 粋,016-0822,能代市,東町8-9,,0185-53-5243,2.飲食店(酒類提供あり),
1511,JINS 秋田アルス店,010-0001,秋田市,秋田市中通7丁目2-1,JR秋田駅ビルアルス 1F,018-836-5161,21.その他,眼鏡
1512,安田タクシー,010-0925,秋田市,旭南3丁目3-51,,018-863-9993,7.ハイヤー・タクシー,
1513,セブンイレブン秋田にかほ象潟店,018-0129,にかほ市,象潟町才の神20-9,,0184-43-3355,4.コンビニ・スーパー,
1514,合資会社 加藤本店,010-0001,秋田市,中通四丁目7番35号,,018-832-2940,3.小売(お土産等),
1515,ローソン 秋田土崎港?三丁目店,011-0945,秋田市,土崎港?三丁目1-34,,018-847-1537,4.コンビニ・スーパー,
1516,ローソン 十文字インター店,019-0509,横手市,横手市十文字町梨木羽場字羽場下66-1,,0182-42-0999,4.コンビニ・スーパー,
1517,ビアカフェあくら,010-0921,秋田市,大町一丁目2-40,,018-862-1841,2.飲食店(酒類提供あり),
1518,レストランプラッツ,010-0921,秋田市,大町一丁目2-40,,018-883-4366,2.飲食店(酒類提供あり),
1519,いとく藤琴店,018-3201,山本郡藤里町,藤琴字家の後84,,0185-79-2255,4.コンビニ・スーパー,
1520,いとく能代通町店,016-0845,能代市,通町2-1,,0185-54-5800,4.コンビニ・スーパー,
1521,いとく大館ショッピングセンター,017-0044,大館市,御成町3丁目7-58,,0186-49-1717,4.コンビニ・スーパー,
1522,いとく比内店,018-5701,大館市,比内町扇田字中扇田41,,0186-55-3311,4.コンビニ・スーパー,
1523,いとく花輪店,018-5201,鹿角市,花輪字上中島88,,0186-22-0011,4.コンビニ・スーパー,
1524,いとく二ツ井ショッピングセンター,018-3144,能代市,二ツ井町字中坪18-1,,0185-73-3113,4.コンビニ・スーパー,
1525,いとく鹿角ショッピングセンター,018-5201,鹿角市,花輪字下タ町164-1,,0186-30-1166,4.コンビニ・スーパー,
1526,いとく能代ショッピングセンター,016-0188,能代市,字寺向70,,0185-89-2480,1.飲食店(酒類提供なし),
1527,いとく男鹿店,010-0502,男鹿市,船川港比詰字大巻20-1,,0185-22-1166,4.コンビニ・スーパー,
1528,いとく鷹巣南店,018-3323,北秋田市,米代町5番13,,0186-60-1400,4.コンビニ・スーパー,
1529,いとく片山店,017-0872,大館市,片山町2丁目4-1,,0186-44-8200,4.コンビニ・スーパー,
1530,いとく樹海店,017-0041,大館市,字大田面19,,0186-44-5522,4.コンビニ・スーパー,
1531,いとく鷹巣ショッピングセンター,018-3302,北秋田市,栄字前綱76,,0186-69-7799,1.飲食店(酒類提供なし),
1532,いとく新国道店,010-0967,秋田市,高陽幸町14-27,,018-896-1133,4.コンビニ・スーパー,
